dataset,meta,base,seed,qini,qini_ci_lo,qini_ci_hi,final_qini,auuc,t_importance,t_kind,mean_abs_uplift,degenerate,fit_time_s,predict_time_s,n_train,n_test
criteo,t,hgb,42,7187.243925894006,6558.53691333029,7753.312316396733,24514.117144785123,19444.302498286575,,n/a,0.012723608529520368,False,1.2824833750055404,0.857522667000012,500000,2795919
criteo,t,xgb,42,7349.117830779237,6655.408964774569,8089.901620814113,24514.117144785123,19606.176403171798,,n/a,0.012538566254079342,False,0.6116952079973998,0.5321708330011461,500000,2795919
criteo,t,lgbm,42,6665.072326227359,5902.557961081306,7265.282914693448,24514.117144785123,18922.13089861992,,n/a,0.013854018908075862,False,1.7529785410006298,1.020187292000628,500000,2795919
criteo,t,rf,42,8358.583554219293,7767.346091059604,8987.509478883083,24514.117144785123,20615.642126611852,,n/a,0.010091706918110874,False,2.6213979160020244,1.5283813330024714,500000,2795919
criteo,t,lr,42,8433.47619574934,7904.029703596653,8997.071266610768,24514.117144785123,20690.534768141915,,n/a,0.00787569613450976,False,0.1600902079953812,0.19618733300012536,500000,2795919
criteo,cts,hgb,42,5281.0403067619245,4625.901739666049,5811.766640812671,24514.117144785123,17538.098879154484,,n/a,0.014899675304483917,False,0.7401870829999098,0.26591112499590963,500000,2795919
criteo,cts,xgb,42,4526.829562690028,4034.239029573987,5116.452889094481,24514.117144785123,16783.888135082583,,n/a,0.02110115811228752,False,0.36648854200029746,0.23461595799744828,500000,2795919
criteo,cts,lgbm,42,5184.466306360883,4531.810882780805,5742.67908597874,24514.117144785123,17441.524878753444,,n/a,0.0186713375941864,False,0.9361010419961531,0.3862995410017902,500000,2795919
criteo,cts,rf,42,5158.533482192584,4572.764217352913,5719.071748158512,24514.117144785123,17415.592054585144,,n/a,0.014486979397009601,False,2.788912625001103,0.5719600410011481,500000,2795919
criteo,cts,lr,42,8261.475166581939,7627.2273514256985,8852.039452908752,24514.117144785123,20518.533738974504,,n/a,0.010000725057704558,False,0.07838104199618101,0.09693166699435096,500000,2795919
